Area,Crop,Soil,NDVI,Rainfall,Carbon
6.13,Cotton,Clay,0.69,834,2.12
14.09,Maize,Sandy,0.77,1246,9.73
12.5,Cotton,Sandy,0.44,448,1.18
10.25,Millets,Clay,0.38,541,1.05
1.71,Cotton,Black,0.8,672,0.61
10.93,Millets,Clay,0.91,990,4.92
13.3,Sugarcane,Loam,0.87,1497,31.18
1.03,Millets,Black,0.73,474,0.2
3.16,Maize,Sandy,0.74,1432,2.41
13.17,Wheat,Black,0.43,887,3.87
2.91,Rice,Clay,0.66,341,0.52
11.43,Rice,Loam,0.51,596,3.34
1.32,Rice,Clay,0.77,936,0.76
9.5,Maize,Black,0.51,1481,7.1
2.33,Rice,Sandy,0.87,650,0.84
6.96,Millets,Sandy,0.73,534,1.09
5.26,Wheat,Loam,0.76,530,1.78
6.54,Rice,Sandy,0.5,820,1.72
12.81,Sugarcane,Loam,0.8,1056,19.48
1.57,Cotton,Clay,0.92,365,0.32
9.19,Rice,Sandy,0.36,503,1.07
13.94,Millets,Clay,0.39,482,1.31
3.5,Maize,Black,0.67,584,1.36
6.48,Millets,Sandy,0.35,1299,1.18
11.02,Rice,Sandy,0.66,1389,6.47
4.33,Millets,Loam,0.72,577,1.08
5.66,Sugarcane,Black,0.65,634,3.85
14.99,Wheat,Black,0.44,419,2.13
6.06,Rice,Black,0.63,670,2.25
3.63,Cotton,Sandy,0.74,1354,1.75
5.93,Rice,Loam,0.53,468,1.41
9.58,Sugarcane,Black,0.94,445,6.61
5.82,Millets,Clay,0.93,604,1.63
3.47,Cotton,Loam,0.81,998,2.02
13.29,Sugarcane,Sandy,0.63,549,5.52
6.79,Rice,Sandy,0.33,1406,2.02
7.31,Cotton,Clay,0.67,838,2.46
11.78,Cotton,Clay,0.76,937,5.03
2.94,Cotton,Clay,0.59,1182,1.23
7.24,Millets,Sandy,0.73,1458,3.08
2.8,Cotton,Sandy,0.6,1123,0.91
14.48,Millets,Sandy,0.39,510,1.15
11.3,Rice,Black,0.57,583,3.3
13.69,Sugarcane,Black,0.93,1084,22.77
1.12,Cotton,Loam,0.35,1205,0.34
3.39,Sugarcane,Sandy,0.72,997,2.92
7.27,Cotton,Black,0.69,1368,4.53
2.19,Maize,Sandy,0.9,1144,1.62
7.13,Cotton,Loam,0.71,1022,3.73
