Area,Crop,Soil,GPS,Documents,NDVI,Rainfall,Verified
11.75,Millets,Sandy,0,1,0.3,883,0
6.47,Rice,Sandy,1,0,0.75,1026,0
12.54,Rice,Loam,0,1,0.95,734,0
1.46,Cotton,Clay,0,1,0.52,321,0
4.14,Wheat,Black,0,1,0.66,996,0
14.57,Millets,Sandy,1,1,0.34,1073,0
7.22,Millets,Black,1,1,0.68,1382,1
1.78,Sugarcane,Clay,1,1,0.27,541,0
1.35,Cotton,Clay,1,1,0.89,552,0
7.76,Wheat,Black,0,1,0.46,1255,0
11.49,Sugarcane,Black,0,1,0.87,1277,0
11.36,Wheat,Black,1,0,0.42,1050,0
4.47,Maize,Loam,0,1,0.41,548,0
8.06,Rice,Black,0,1,0.75,1074,0
12.78,Cotton,Black,1,1,0.53,1386,1
6.75,Sugarcane,Clay,0,0,0.87,1323,0
1.75,Millets,Clay,0,1,0.72,1468,0
14.74,Rice,Clay,0,0,0.77,701,0
9.04,Maize,Black,1,1,0.3,1248,0
2.22,Rice,Loam,1,1,0.44,730,0
5.78,Rice,Loam,1,0,0.5,1175,0
7.97,Rice,Loam,1,0,0.3,481,0
12.53,Maize,Loam,0,1,0.79,801,0
11.9,Maize,Clay,0,1,0.21,748,0
9.26,Rice,Clay,1,1,0.61,1349,1
1.02,Wheat,Loam,1,0,0.22,641,0
11.09,Sugarcane,Clay,1,0,0.48,300,0
4.6,Maize,Clay,0,0,0.28,1394,0
7.77,Maize,Loam,1,0,0.63,1147,0
6.32,Rice,Sandy,1,1,0.61,1109,1
7.41,Rice,Loam,1,1,0.85,792,1
1.75,Millets,Black,1,0,0.47,523,0
1.96,Sugarcane,Loam,1,0,0.61,704,0
1.79,Sugarcane,Black,1,0,0.47,1468,0
13.19,Maize,Clay,0,0,0.57,680,0
9.26,Millets,Black,1,1,0.55,606,1
1.89,Rice,Black,1,1,0.29,432,0
7.65,Cotton,Black,0,0,0.81,1341,0
7.48,Millets,Clay,1,0,0.23,771,0
8.71,Millets,Sandy,1,1,0.79,779,1
3.27,Sugarcane,Sandy,1,0,0.77,601,0
10.79,Millets,Loam,0,0,0.49,656,0
6.79,Sugarcane,Loam,1,1,0.28,1098,0
3.53,Cotton,Loam,0,0,0.88,1023,0
6.38,Rice,Loam,1,0,0.31,978,0
1.07,Wheat,Sandy,0,1,0.27,358,0
12.52,Cotton,Black,0,0,0.65,1442,0
1.5,Cotton,Sandy,1,1,0.27,1328,0
8.4,Sugarcane,Loam,1,0,0.41,1278,0
5.8,Wheat,Sandy,1,0,0.86,926,0
9.77,Maize,Black,0,1,0.83,884,0
5.19,Wheat,Loam,0,1,0.3,1216,0
2.52,Maize,Sandy,1,1,0.59,1256,1
